name,voc_size,dim,length,dtype,ftype
workclass,9,1,1,int32,Categorical
education,16,1,1,int32,Categorical
marital.status,7,1,1,int32,Categorical
occupation,15,1,1,int32,Categorical
relationship,6,1,1,int32,Categorical
race,5,1,1,int32,Categorical
sex,2,1,1,int32,Categorical
native.country,42,1,1,int32,Categorical
income,,1,1,int32,Label
age,,1,1,float32,Numerical
fnlwgt,,1,1,float32,Numerical
education.num,,1,1,float32,Numerical
capital.gain,,1,1,float32,Numerical
capital.loss,,1,1,float32,Numerical
hours.per.week,,1,1,float32,Numerical
