name,voc_size,dim,length,dtype,ftype,hash_size
hour,24,11,1,int32,Categorical,
id,45006427,11,1,int32,Categorical,
C1,7,11,1,int32,Categorical,
banner_pos,7,11,1,int32,Categorical,
site_id,4842,11,1,int32,Categorical,
site_domain,7912,11,1,int32,Categorical,
site_category,26,11,1,int32,Categorical,
app_id,9136,11,1,int32,Categorical,
app_domain,580,11,1,int32,Categorical,
app_category,36,11,1,int32,Categorical,
device_id,2895973,11,1,int32,Categorical,
device_ip,7338655,11,1,int32,Categorical,
device_model,8303,11,1,int32,Categorical,
device_type,5,11,1,int32,Categorical,
device_conn_type,4,11,1,int32,Categorical,
C14,2673,11,1,int32,Categorical,
C15,8,11,1,int32,Categorical,
C16,9,11,1,int32,Categorical,
C17,441,11,1,int32,Categorical,
C18,4,11,1,int32,Categorical,
C19,69,11,1,int32,Categorical,
C20,172,11,1,int32,Categorical,
C21,62,11,1,int32,Categorical,
click,1,1,1,int32,Label,
