name,dtype,ftype,dim,length,voc_size
_c0,int32,Label,1,1,
_c1,float64,Numerical,1,1,
_c2,float64,Numerical,1,1,
_c3,float64,Numerical,1,1,
_c4,float64,Numerical,1,1,
_c5,float64,Numerical,1,1,
_c6,float64,Numerical,1,1,
_c7,float64,Numerical,1,1,
_c8,float64,Numerical,1,1,
_c9,float64,Numerical,1,1,
_c10,float64,Numerical,1,1,
_c11,float64,Numerical,1,1,
_c12,float64,Numerical,1,1,
_c13,float64,Numerical,1,1,
_c14,int32,Categorical,1,1,7912888
_c15,int32,Categorical,1,1,33822
_c16,int32,Categorical,1,1,17138
_c17,int32,Categorical,1,1,7338
_c18,int32,Categorical,1,1,20045
_c19,int32,Categorical,1,1,3
_c20,int32,Categorical,1,1,7104
_c21,int32,Categorical,1,1,1381
_c22,int32,Categorical,1,1,62
_c23,int32,Categorical,1,1,5554113
_c24,int32,Categorical,1,1,582468
_c25,int32,Categorical,1,1,245827
_c26,int32,Categorical,1,1,10
_c27,int32,Categorical,1,1,2208
_c28,int32,Categorical,1,1,10666
_c29,int32,Categorical,1,1,103
_c30,int32,Categorical,1,1,3
_c31,int32,Categorical,1,1,967
_c32,int32,Categorical,1,1,14
_c33,int32,Categorical,1,1,8165895
_c34,int32,Categorical,1,1,2675939
_c35,int32,Categorical,1,1,7156452
_c36,int32,Categorical,1,1,302515
_c37,int32,Categorical,1,1,12021
_c38,int32,Categorical,1,1,96
_c39,int32,Categorical,1,1,34
